epoch,train_loss,val_loss,val_bal_acc,lr
1,0.5282,0.5625,0.1896,0.0001
2,0.3987,0.5162,0.2181,0.0001
3,0.3005,0.447,0.2537,0.0001
4,0.2624,0.3804,0.3071,9.9e-05
5,0.2452,0.3254,0.3609,9.8e-05
6,0.2268,0.2812,0.4333,9.7e-05
7,0.2365,0.2502,0.5238,9.6e-05
8,0.217,0.2275,0.5996,9.5e-05
9,0.211,0.2124,0.6209,9.4e-05
10,0.1958,0.1999,0.6423,9.2e-05
11,0.2003,0.1915,0.6571,9e-05
12,0.1956,0.1854,0.6562,8.8e-05
13,0.1919,0.1794,0.685,8.6e-05
14,0.1848,0.175,0.6864,8.4e-05
15,0.1787,0.1715,0.6879,8.1e-05
16,0.1764,0.1689,0.7016,7.9e-05
17,0.1772,0.1674,0.7105,7.6e-05
18,0.1772,0.1658,0.7128,7.3e-05
19,0.1752,0.1645,0.7072,7.1e-05
20,0.1767,0.1615,0.71,6.8e-05
21,0.1725,0.1575,0.7076,6.5e-05
22,0.1608,0.1568,0.7066,6.2e-05
23,0.1684,0.1547,0.7047,5.8e-05
24,0.1618,0.1532,0.7067,5.5e-05
25,0.1652,0.1503,0.7152,5.2e-05
26,0.1553,0.1478,0.7144,4.9e-05
27,0.1545,0.1461,0.7171,4.6e-05
28,0.159,0.1453,0.7171,4.3e-05
29,0.1591,0.1451,0.716,3.9e-05
30,0.158,0.1443,0.7198,3.6e-05
31,0.1515,0.1447,0.7223,3.3e-05
32,0.1498,0.1457,0.7263,3e-05
33,0.1593,0.1466,0.7278,2.8e-05
34,0.1554,0.1463,0.7265,2.5e-05
35,0.1596,0.1466,0.7248,2.2e-05
36,0.158,0.1463,0.7259,2e-05
37,0.155,0.1467,0.7289,1.7e-05
38,0.1554,0.1481,0.7202,1.5e-05
39,0.1471,0.1484,0.7158,1.3e-05
40,0.1516,0.1492,0.7156,1.1e-05
41,0.1443,0.1496,0.7156,9e-06
