epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.3327,2.043,0.0619,0.163,0.0399,0.1529,0.163,4e-05
2,0.6907,1.5239,0.4259,0.298,0.1843,0.2837,0.298,7e-05
3,0.4877,1.0432,0.683,0.4647,0.3615,0.4747,0.4647,0.0001
4,0.4163,0.7216,0.7474,0.5617,0.4731,0.5627,0.5617,0.0001
5,0.3572,0.5338,0.7748,0.6239,0.548,0.6053,0.6239,9.9e-05
6,0.3231,0.4363,0.7983,0.6728,0.6104,0.6362,0.6728,9.9e-05
7,0.2997,0.3814,0.8173,0.7114,0.6612,0.6747,0.7114,9.8e-05
8,0.2631,0.343,0.8328,0.7284,0.6863,0.6917,0.7284,9.7e-05
9,0.2386,0.3182,0.8437,0.7474,0.7126,0.713,0.7474,9.5e-05
10,0.2189,0.3036,0.8492,0.7524,0.7318,0.738,0.7524,9.3e-05
11,0.2112,0.2959,0.8517,0.75,0.7334,0.7377,0.75,9.1e-05
12,0.1944,0.289,0.8502,0.7471,0.7341,0.7423,0.7471,8.9e-05
13,0.1789,0.2874,0.8522,0.7495,0.743,0.7545,0.7495,8.7e-05
14,0.1614,0.2873,0.8497,0.746,0.7417,0.7555,0.746,8.4e-05
15,0.1524,0.2886,0.8487,0.7467,0.7413,0.7525,0.7467,8.1e-05
16,0.1443,0.2867,0.8512,0.7535,0.7461,0.7559,0.7535,7.8e-05
17,0.1274,0.2894,0.8512,0.7594,0.75,0.7583,0.7594,7.5e-05
18,0.1235,0.292,0.8522,0.7575,0.7489,0.7574,0.7575,7.2e-05
19,0.1109,0.2932,0.8507,0.758,0.7483,0.7565,0.758,6.9e-05
20,0.1047,0.3004,0.8507,0.7617,0.7506,0.7571,0.7617,6.5e-05
21,0.093,0.3067,0.8492,0.7614,0.7515,0.7604,0.7614,6.2e-05
22,0.0884,0.3106,0.8512,0.7675,0.756,0.763,0.7675,5.8e-05
23,0.0825,0.3151,0.8512,0.7712,0.7612,0.7662,0.7712,5.4e-05
24,0.0734,0.3178,0.8477,0.761,0.7522,0.7577,0.761,5.1e-05
25,0.0668,0.3224,0.8442,0.7447,0.7384,0.7463,0.7447,4.7e-05
26,0.061,0.3263,0.8442,0.7502,0.7426,0.7486,0.7502,4.3e-05
27,0.0561,0.3331,0.8407,0.7465,0.7405,0.7492,0.7465,3.9e-05
28,0.05,0.3402,0.8392,0.7457,0.7461,0.7628,0.7457,3.6e-05
29,0.0461,0.3442,0.8377,0.7393,0.7422,0.7608,0.7393,3.2e-05
30,0.042,0.3491,0.8347,0.7359,0.7365,0.753,0.7359,2.9e-05
31,0.0421,0.3537,0.8318,0.7318,0.734,0.7505,0.7318,2.6e-05
32,0.0375,0.3594,0.8293,0.7352,0.7331,0.7468,0.7352,2.3e-05
33,0.0349,0.3657,0.8328,0.7376,0.7344,0.7479,0.7376,2e-05
34,0.0332,0.3693,0.8328,0.736,0.7346,0.7478,0.736,1.7e-05
35,0.0293,0.3746,0.8323,0.7369,0.735,0.7467,0.7369,1.4e-05
36,0.0252,0.3827,0.8293,0.7318,0.7317,0.7438,0.7318,1.2e-05
