epoch,train_loss,val_loss,val_bal_acc,lr
1,1.3929,1.3329,0.1953,4e-05
2,0.6566,1.2446,0.2727,7e-05
3,0.3579,1.0649,0.4093,0.0001
4,0.2808,0.8116,0.5602,0.0001
5,0.2275,0.5798,0.669,9.9e-05
6,0.1814,0.4293,0.7435,9.9e-05
7,0.1657,0.3495,0.7737,9.8e-05
8,0.1386,0.3085,0.7814,9.7e-05
9,0.1285,0.2893,0.7915,9.5e-05
10,0.1094,0.2778,0.8029,9.3e-05
11,0.0988,0.269,0.7986,9.1e-05
12,0.0945,0.2637,0.8161,8.9e-05
13,0.0835,0.2658,0.8101,8.7e-05
14,0.0747,0.2712,0.8125,8.4e-05
15,0.0696,0.2768,0.8025,8.1e-05
16,0.0677,0.278,0.8038,7.8e-05
17,0.0619,0.2766,0.8042,7.5e-05
18,0.057,0.2771,0.8036,7.2e-05
19,0.0525,0.2837,0.8002,6.9e-05
20,0.0475,0.2895,0.8018,6.5e-05
21,0.0444,0.2966,0.7799,6.2e-05
22,0.044,0.3015,0.7821,5.8e-05
23,0.0439,0.3046,0.7783,5.4e-05
24,0.0377,0.3064,0.7731,5.1e-05
25,0.037,0.3067,0.7698,4.7e-05
26,0.035,0.3071,0.7721,4.3e-05
27,0.0289,0.305,0.7688,3.9e-05
28,0.0294,0.3073,0.7695,3.6e-05
