epoch,train_loss,val_loss,val_bal_acc
1,1.3154,1.1768,0.4478
2,1.0644,1.116,0.5128
3,1.0106,1.133,0.5357
4,0.9804,1.0739,0.5598
5,0.954,1.0576,0.614
6,0.931,1.0616,0.6064
7,0.9087,1.0299,0.6352
8,0.8945,1.0722,0.6202
9,0.8867,1.0611,0.6145
10,0.8743,1.0443,0.6336
11,0.8588,1.0547,0.6179
12,0.8555,1.0377,0.637
13,0.8435,1.0295,0.6347
14,0.8255,1.0343,0.6308
15,0.8208,1.031,0.6287
16,0.8062,1.0332,0.6431
17,0.7973,1.0395,0.6336
18,0.7895,1.0321,0.663
19,0.7922,1.0353,0.6536
20,0.7782,1.0425,0.6378
21,0.7814,1.0457,0.6324
22,0.7769,1.0411,0.6423
23,0.7719,1.0425,0.6338
24,0.7714,1.0311,0.6359
25,0.7781,1.0327,0.6535
