epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.1887,1.4852,0.0599,0.1728,0.0461,0.1722,0.1728,4e-05
2,0.6537,1.2069,0.3234,0.2993,0.1833,0.2553,0.2993,7e-05
3,0.4752,0.9163,0.6013,0.4233,0.3177,0.3184,0.4233,0.0001
4,0.4075,0.6688,0.7091,0.4882,0.4035,0.4983,0.4882,0.0001
5,0.3495,0.5024,0.7615,0.5795,0.5138,0.5836,0.5795,9.9e-05
6,0.307,0.4033,0.8009,0.65,0.6018,0.6437,0.65,9.9e-05
7,0.2908,0.3441,0.8244,0.7003,0.6626,0.6739,0.7003,9.8e-05
8,0.2485,0.309,0.8403,0.7323,0.7025,0.7051,0.7323,9.7e-05
9,0.234,0.2868,0.8478,0.7566,0.7301,0.7261,0.7566,9.5e-05
10,0.219,0.2735,0.8508,0.7608,0.7413,0.7365,0.7608,9.3e-05
11,0.1976,0.2634,0.8493,0.7485,0.7327,0.7286,0.7485,9.1e-05
12,0.1785,0.2561,0.8483,0.7487,0.7297,0.7208,0.7487,8.9e-05
13,0.1698,0.2496,0.8503,0.7502,0.7452,0.7514,0.7502,8.7e-05
14,0.1567,0.2453,0.8538,0.7568,0.7481,0.747,0.7568,8.4e-05
15,0.1495,0.2435,0.8543,0.7562,0.7488,0.7483,0.7562,8.1e-05
16,0.1373,0.2414,0.8603,0.7573,0.7527,0.7528,0.7573,7.8e-05
17,0.1215,0.242,0.8603,0.7522,0.751,0.7537,0.7522,7.5e-05
18,0.1091,0.2456,0.8588,0.7519,0.7522,0.7563,0.7519,7.2e-05
19,0.1068,0.2497,0.8583,0.7483,0.7452,0.7462,0.7483,6.9e-05
20,0.0973,0.2525,0.8638,0.7557,0.7548,0.7574,0.7557,6.5e-05
21,0.0908,0.2558,0.8638,0.7469,0.7497,0.7561,0.7469,6.2e-05
22,0.0859,0.2588,0.8643,0.7432,0.7531,0.7692,0.7432,5.8e-05
23,0.0781,0.2621,0.8618,0.7303,0.7427,0.7628,0.7303,5.4e-05
24,0.072,0.2671,0.8613,0.7275,0.7412,0.7627,0.7275,5.1e-05
25,0.0664,0.2712,0.8598,0.724,0.7382,0.7604,0.724,4.7e-05
26,0.058,0.2757,0.8598,0.724,0.738,0.7594,0.724,4.3e-05
27,0.0535,0.2807,0.8553,0.7255,0.7381,0.7567,0.7255,3.9e-05
28,0.0492,0.2834,0.8553,0.7281,0.7403,0.7589,0.7281,3.6e-05
29,0.0445,0.2871,0.8578,0.7322,0.7451,0.7645,0.7322,3.2e-05
30,0.0416,0.2904,0.8558,0.7272,0.7414,0.7619,0.7272,2.9e-05
31,0.0417,0.293,0.8558,0.7272,0.7392,0.7575,0.7272,2.6e-05
32,0.0355,0.2944,0.8533,0.7257,0.7357,0.7522,0.7257,2.3e-05
