epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.0405,1.2128,0.3693,0.177,0.1512,0.1682,0.177,4e-05
2,0.5858,0.985,0.6632,0.3335,0.325,0.3788,0.3335,7e-05
3,0.4309,0.7221,0.75,0.4947,0.4959,0.531,0.4947,0.0001
4,0.3345,0.5086,0.8009,0.5962,0.6029,0.6387,0.5962,0.0001
5,0.2768,0.385,0.8249,0.6572,0.6665,0.6953,0.6572,9.9e-05
6,0.2441,0.3165,0.8478,0.7147,0.7243,0.7493,0.7147,9.9e-05
7,0.2008,0.2782,0.8578,0.7317,0.7485,0.786,0.7317,9.8e-05
8,0.1792,0.2558,0.8598,0.7468,0.7597,0.7857,0.7468,9.7e-05
9,0.1495,0.242,0.8663,0.7539,0.7686,0.7949,0.7539,9.5e-05
10,0.1271,0.2337,0.8663,0.7413,0.7568,0.7897,0.7413,9.3e-05
11,0.115,0.229,0.8673,0.7472,0.7641,0.7969,0.7472,9.1e-05
12,0.1066,0.2271,0.8653,0.7649,0.7757,0.7944,0.7649,8.9e-05
13,0.0944,0.2269,0.8628,0.7641,0.7734,0.7876,0.7641,8.7e-05
14,0.0878,0.2285,0.8663,0.7759,0.7846,0.7985,0.7759,8.4e-05
15,0.0761,0.2286,0.8678,0.7693,0.7849,0.8073,0.7693,8.1e-05
16,0.0656,0.232,0.8663,0.7708,0.7874,0.811,0.7708,7.8e-05
17,0.0634,0.2348,0.8683,0.7822,0.7958,0.8155,0.7822,7.5e-05
18,0.0545,0.2403,0.8708,0.7868,0.7972,0.8133,0.7868,7.2e-05
19,0.0426,0.2451,0.8713,0.787,0.7978,0.814,0.787,6.9e-05
20,0.042,0.2503,0.8748,0.7925,0.8056,0.8236,0.7925,6.5e-05
21,0.0368,0.2555,0.8733,0.7827,0.7975,0.8167,0.7827,6.2e-05
22,0.0364,0.2602,0.8752,0.7905,0.8041,0.8215,0.7905,5.8e-05
23,0.0328,0.2621,0.8738,0.7875,0.8017,0.8197,0.7875,5.4e-05
24,0.0301,0.2675,0.8733,0.7806,0.7941,0.8114,0.7806,5.1e-05
25,0.0267,0.274,0.8683,0.7609,0.78,0.8049,0.7609,4.7e-05
26,0.024,0.279,0.8703,0.7608,0.78,0.8054,0.7608,4.3e-05
27,0.0234,0.2847,0.8718,0.7624,0.7804,0.805,0.7624,3.9e-05
28,0.0209,0.2913,0.8723,0.7673,0.7854,0.8096,0.7673,3.6e-05
29,0.0227,0.2945,0.8738,0.7661,0.7827,0.8056,0.7661,3.2e-05
30,0.0168,0.2959,0.8782,0.7787,0.7958,0.8188,0.7787,2.9e-05
31,0.0183,0.2958,0.8767,0.7758,0.7933,0.8168,0.7758,2.6e-05
32,0.0192,0.2953,0.8782,0.7668,0.7889,0.8191,0.7668,2.3e-05
33,0.0158,0.2972,0.8767,0.7583,0.7829,0.8158,0.7583,2e-05
34,0.0144,0.3001,0.8752,0.7578,0.7815,0.8126,0.7578,1.7e-05
35,0.0146,0.3035,0.8748,0.7557,0.783,0.8187,0.7557,1.4e-05
