epoch,train_loss,val_loss,val_bal_acc,lr
1,0.1739,0.4137,0.1746,0.0001
2,0.1225,0.3266,0.1746,0.0001
3,0.0972,0.3018,0.1766,9.9e-05
4,0.0864,0.2515,0.2749,9.8e-05
5,0.0755,0.2097,0.4066,9.7e-05
6,0.07,0.1479,0.5755,9.6e-05
7,0.0643,0.1518,0.6137,9.4e-05
8,0.058,0.129,0.637,9.2e-05
9,0.0523,0.1076,0.7042,9.1e-05
10,0.0505,0.1054,0.7407,8.8e-05
11,0.0491,0.1014,0.7217,8.6e-05
12,0.0452,0.1134,0.6946,8.4e-05
13,0.0374,0.1018,0.7544,8.1e-05
14,0.0349,0.1264,0.713,7.8e-05
15,0.032,0.1495,0.7074,7.5e-05
16,0.0356,0.1096,0.7325,7.2e-05
17,0.0281,0.126,0.7389,6.9e-05
18,0.0272,0.1015,0.7489,6.6e-05
19,0.0231,0.2179,0.6833,6.2e-05
20,0.0249,0.1455,0.7671,5.9e-05
21,0.0217,0.1623,0.7435,5.6e-05
22,0.0224,0.1463,0.7472,5.2e-05
23,0.0189,0.1192,0.7616,4.9e-05
24,0.0161,0.1052,0.7923,4.5e-05
25,0.0154,0.1441,0.7499,4.2e-05
26,0.0151,0.119,0.8002,3.9e-05
27,0.0145,0.1461,0.7805,3.5e-05
28,0.0121,0.1146,0.7853,3.2e-05
29,0.0109,0.1277,0.7691,2.9e-05
30,0.0118,0.1256,0.7977,2.6e-05
31,0.01,0.1131,0.7987,2.3e-05
32,0.0096,0.1205,0.8044,2e-05
33,0.0084,0.1306,0.8072,1.7e-05
34,0.0109,0.1348,0.8011,1.5e-05
35,0.0089,0.1196,0.8068,1.3e-05
36,0.0078,0.1417,0.793,1e-05
37,0.0073,0.1367,0.7954,9e-06
38,0.0084,0.1451,0.7867,7e-06
39,0.0075,0.1315,0.7918,5e-06
40,0.0067,0.1291,0.7948,4e-06
41,0.0062,0.1327,0.7905,3e-06
42,0.0066,0.1278,0.7948,2e-06
43,0.0064,0.1272,0.8001,1e-06
44,0.0058,0.1247,0.8051,1e-06
45,0.0071,0.13,0.7937,1e-06
