epoch,train_loss,val_loss,val_bal_acc,lr
1,0.4215,0.5351,0.2028,5.5e-05
2,0.2405,0.443,0.26,0.0001
3,0.191,0.3305,0.3593,0.0001
4,0.1639,0.2447,0.4739,9.9e-05
5,0.1449,0.1928,0.6137,9.9e-05
6,0.1301,0.1638,0.6743,9.8e-05
7,0.1237,0.1489,0.7223,9.7e-05
8,0.1092,0.1369,0.7337,9.5e-05
9,0.1033,0.1299,0.7503,9.4e-05
10,0.0941,0.1249,0.7613,9.2e-05
11,0.0907,0.1198,0.7941,9e-05
12,0.0882,0.1172,0.7967,8.7e-05
13,0.0783,0.1144,0.8006,8.5e-05
14,0.0755,0.1115,0.7974,8.2e-05
15,0.0678,0.1122,0.7948,7.9e-05
16,0.0635,0.1117,0.7967,7.6e-05
17,0.0617,0.1117,0.7961,7.3e-05
18,0.0559,0.117,0.7871,7e-05
19,0.0522,0.1208,0.7851,6.6e-05
20,0.0514,0.1249,0.7842,6.3e-05
21,0.0476,0.1272,0.7862,5.9e-05
22,0.0438,0.1268,0.7842,5.6e-05
23,0.0435,0.1308,0.7859,5.2e-05
24,0.0379,0.1364,0.7834,4.9e-05
25,0.0367,0.1402,0.784,4.5e-05
26,0.0353,0.1414,0.7785,4.2e-05
27,0.0315,0.1382,0.7842,3.8e-05
28,0.027,0.1398,0.7845,3.5e-05
29,0.0253,0.1424,0.7817,3.1e-05
30,0.0251,0.1435,0.7835,2.8e-05
31,0.0246,0.1451,0.7852,2.5e-05
