epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.0369,1.1985,0.3829,0.1764,0.1492,0.1674,0.1764,4e-05
2,0.5918,0.9619,0.6725,0.3267,0.3275,0.4064,0.3267,7e-05
3,0.4402,0.7118,0.7599,0.5101,0.5305,0.5721,0.5101,0.0001
4,0.3445,0.5029,0.8058,0.6395,0.6594,0.6885,0.6395,0.0001
5,0.2704,0.3812,0.8288,0.6911,0.7141,0.7505,0.6911,9.9e-05
6,0.2361,0.3208,0.8377,0.715,0.734,0.7712,0.715,9.9e-05
7,0.1949,0.2862,0.8457,0.7401,0.7518,0.7757,0.7401,9.8e-05
8,0.1724,0.2667,0.8497,0.7545,0.7648,0.7875,0.7545,9.7e-05
9,0.1478,0.2546,0.8532,0.7509,0.7642,0.7885,0.7509,9.5e-05
10,0.1359,0.247,0.8592,0.7609,0.7723,0.7944,0.7609,9.3e-05
11,0.1111,0.2433,0.8592,0.771,0.7679,0.7722,0.771,9.1e-05
12,0.0996,0.2404,0.8647,0.7845,0.7783,0.7802,0.7845,8.9e-05
13,0.0877,0.2431,0.8622,0.7851,0.7759,0.7735,0.7851,8.7e-05
14,0.0838,0.2483,0.8637,0.7885,0.7777,0.7742,0.7885,8.4e-05
15,0.0762,0.2549,0.8602,0.7859,0.7742,0.7713,0.7859,8.1e-05
16,0.0646,0.2614,0.8557,0.7847,0.7709,0.7657,0.7847,7.8e-05
17,0.0562,0.2686,0.8552,0.7833,0.7707,0.7692,0.7833,7.5e-05
18,0.0532,0.2731,0.8537,0.7766,0.7635,0.761,0.7766,7.2e-05
19,0.0463,0.2804,0.8552,0.7785,0.7647,0.7616,0.7785,6.9e-05
20,0.0469,0.2852,0.8557,0.775,0.7659,0.7663,0.775,6.5e-05
21,0.0427,0.2896,0.8562,0.7753,0.7671,0.7679,0.7753,6.2e-05
22,0.0308,0.2954,0.8572,0.7748,0.7673,0.7685,0.7748,5.8e-05
23,0.03,0.3032,0.8552,0.7677,0.7622,0.7658,0.7677,5.4e-05
24,0.0285,0.309,0.8542,0.765,0.7602,0.765,0.765,5.1e-05
25,0.0264,0.3138,0.8502,0.7621,0.7562,0.7596,0.7621,4.7e-05
26,0.0257,0.3224,0.8487,0.7633,0.7563,0.7588,0.7633,4.3e-05
27,0.0219,0.3284,0.8507,0.7678,0.7616,0.7635,0.7678,3.9e-05
28,0.0207,0.3344,0.8537,0.7735,0.7703,0.7762,0.7735,3.6e-05
