epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.4047,1.8531,0.1533,0.1503,0.0908,0.1713,0.1503,4e-05
2,0.7365,1.7265,0.3265,0.2397,0.1712,0.2079,0.2397,7e-05
3,0.4254,1.4557,0.5781,0.4327,0.3606,0.4278,0.4327,0.0001
4,0.3407,1.1015,0.6955,0.5332,0.4536,0.5227,0.5332,0.0001
5,0.2828,0.7774,0.7514,0.5992,0.5424,0.5968,0.5992,9.9e-05
6,0.2424,0.5695,0.7863,0.6632,0.6174,0.6546,0.6632,9.9e-05
7,0.2085,0.46,0.7958,0.6787,0.6318,0.6642,0.6787,9.8e-05
8,0.1856,0.398,0.8138,0.7095,0.6714,0.6884,0.7095,9.7e-05
9,0.167,0.3646,0.8178,0.7285,0.69,0.6962,0.7285,9.5e-05
10,0.1477,0.3486,0.8228,0.7378,0.7035,0.7057,0.7378,9.3e-05
11,0.1415,0.3333,0.8303,0.7497,0.7161,0.7125,0.7497,9.1e-05
12,0.1217,0.3224,0.8392,0.7603,0.7258,0.7172,0.7603,8.9e-05
13,0.1158,0.3144,0.8412,0.7573,0.7303,0.7247,0.7573,8.7e-05
14,0.1041,0.3114,0.8427,0.7608,0.7363,0.7301,0.7608,8.4e-05
15,0.1056,0.3092,0.8437,0.7594,0.7388,0.7348,0.7594,8.1e-05
16,0.0898,0.3093,0.8462,0.7563,0.735,0.7262,0.7563,7.8e-05
17,0.081,0.3082,0.8472,0.7538,0.7336,0.7265,0.7538,7.5e-05
18,0.0746,0.3071,0.8522,0.7527,0.7342,0.7283,0.7527,7.2e-05
19,0.072,0.3075,0.8512,0.7513,0.7396,0.7372,0.7513,6.9e-05
20,0.074,0.3079,0.8507,0.7586,0.7432,0.7369,0.7586,6.5e-05
21,0.0619,0.3076,0.8542,0.7613,0.7474,0.7418,0.7613,6.2e-05
22,0.0543,0.3085,0.8577,0.7725,0.7564,0.748,0.7725,5.8e-05
23,0.0551,0.3095,0.8537,0.7687,0.7533,0.7454,0.7687,5.4e-05
24,0.0493,0.3136,0.8517,0.7656,0.7499,0.742,0.7656,5.1e-05
25,0.0462,0.3173,0.8537,0.7523,0.7455,0.7473,0.7523,4.7e-05
26,0.044,0.3219,0.8527,0.7676,0.7587,0.7569,0.7676,4.3e-05
27,0.046,0.3238,0.8497,0.7629,0.7548,0.7528,0.7629,3.9e-05
28,0.0356,0.3215,0.8532,0.7719,0.7615,0.7564,0.7719,3.6e-05
29,0.0332,0.3225,0.8557,0.7669,0.764,0.7659,0.7669,3.2e-05
30,0.0346,0.3251,0.8537,0.7592,0.7576,0.7618,0.7592,2.9e-05
31,0.0304,0.3284,0.8497,0.7444,0.7457,0.7535,0.7444,2.6e-05
32,0.0301,0.3323,0.8522,0.7494,0.7512,0.7609,0.7494,2.3e-05
33,0.0277,0.3352,0.8507,0.7492,0.753,0.7627,0.7492,2e-05
34,0.0275,0.3381,0.8487,0.7442,0.7495,0.7612,0.7442,1.7e-05
35,0.0233,0.3402,0.8457,0.7333,0.7419,0.7578,0.7333,1.4e-05
36,0.0255,0.341,0.8492,0.7367,0.7449,0.7596,0.7367,1.2e-05
37,0.0212,0.3419,0.8507,0.7328,0.7436,0.7617,0.7328,1e-05
38,0.0193,0.3431,0.8507,0.7312,0.739,0.7532,0.7312,8e-06
39,0.0211,0.3442,0.8512,0.7318,0.7392,0.7542,0.7318,6e-06
40,0.0187,0.3451,0.8517,0.7314,0.7399,0.7565,0.7314,4e-06
41,0.0202,0.3461,0.8527,0.729,0.739,0.7568,0.729,3e-06
42,0.0198,0.3469,0.8507,0.7248,0.7344,0.7505,0.7248,2e-06
