epoch,train_loss,val_loss,val_bal_acc,lr
1,0.6338,0.5781,0.6877,0.0001
2,0.3775,0.4997,0.725,9.9e-05
3,0.3075,0.3823,0.7116,9.9e-05
4,0.2646,0.4267,0.7238,9.8e-05
5,0.2454,0.4116,0.7351,9.6e-05
6,0.211,0.4342,0.7676,9.5e-05
7,0.1945,0.4204,0.7742,9.3e-05
8,0.1729,0.3442,0.772,9.1e-05
9,0.1608,0.4079,0.7635,8.8e-05
10,0.1548,0.3388,0.7813,8.6e-05
11,0.1428,0.3822,0.7565,8.3e-05
12,0.131,0.3202,0.7698,8e-05
13,0.1223,0.4671,0.7631,7.6e-05
14,0.1095,0.3626,0.7212,7.3e-05
15,0.1056,0.3861,0.7288,6.9e-05
16,0.104,0.3806,0.7113,6.6e-05
17,0.0878,0.4587,0.7701,6.2e-05
18,0.0794,0.3828,0.7793,5.8e-05
19,0.0803,0.3522,0.7657,5.4e-05
20,0.0753,0.3741,0.7593,5e-05
21,0.0632,0.4263,0.747,4.7e-05
22,0.0669,0.3803,0.7695,4.3e-05
