epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.4038,1.8557,0.1538,0.1622,0.1034,0.1825,0.1622,4e-05
2,0.7488,1.716,0.3545,0.2854,0.2078,0.2427,0.2854,7e-05
3,0.4427,1.4308,0.6291,0.4099,0.3628,0.4348,0.4099,0.0001
4,0.3357,1.0517,0.7359,0.5287,0.5101,0.5814,0.5287,0.0001
5,0.2966,0.7348,0.7833,0.6359,0.63,0.6765,0.6359,9.9e-05
6,0.2432,0.5379,0.8048,0.6884,0.6832,0.7221,0.6884,9.9e-05
7,0.216,0.4272,0.8203,0.7174,0.7118,0.7432,0.7174,9.8e-05
8,0.1838,0.3686,0.8238,0.7286,0.7241,0.7498,0.7286,9.7e-05
9,0.1567,0.3374,0.8313,0.7507,0.7396,0.7513,0.7507,9.5e-05
10,0.1465,0.3211,0.8283,0.745,0.7286,0.7294,0.745,9.3e-05
11,0.1391,0.3092,0.8382,0.7541,0.7434,0.7463,0.7541,9.1e-05
12,0.1242,0.3046,0.8387,0.7537,0.74,0.736,0.7537,8.9e-05
13,0.1125,0.3056,0.8387,0.7607,0.745,0.7366,0.7607,8.7e-05
14,0.1064,0.3056,0.8422,0.7704,0.7519,0.741,0.7704,8.4e-05
15,0.0984,0.3043,0.8447,0.7747,0.7589,0.7496,0.7747,8.1e-05
16,0.0942,0.303,0.8462,0.7749,0.7654,0.7635,0.7749,7.8e-05
17,0.0775,0.3052,0.8512,0.7764,0.7674,0.7646,0.7764,7.5e-05
18,0.0781,0.3086,0.8532,0.7805,0.7708,0.7665,0.7805,7.2e-05
19,0.0697,0.3109,0.8512,0.7727,0.7608,0.7527,0.7727,6.9e-05
20,0.0678,0.3114,0.8552,0.7804,0.7703,0.7645,0.7804,6.5e-05
21,0.0629,0.3109,0.8557,0.7799,0.7726,0.7694,0.7799,6.2e-05
22,0.0573,0.3101,0.8592,0.7865,0.7803,0.778,0.7865,5.8e-05
23,0.0593,0.3075,0.8632,0.7848,0.7847,0.7884,0.7848,5.4e-05
24,0.0487,0.3055,0.8622,0.781,0.7826,0.7879,0.781,5.1e-05
25,0.0433,0.3066,0.8677,0.7838,0.7835,0.7864,0.7838,4.7e-05
26,0.0404,0.3095,0.8662,0.7819,0.7837,0.7895,0.7819,4.3e-05
27,0.0408,0.3136,0.8652,0.7763,0.7797,0.7877,0.7763,3.9e-05
28,0.0352,0.3195,0.8652,0.7742,0.7786,0.7878,0.7742,3.6e-05
29,0.0328,0.3219,0.8647,0.7697,0.7737,0.7816,0.7697,3.2e-05
30,0.0327,0.3236,0.8647,0.7652,0.7675,0.7723,0.7652,2.9e-05
31,0.0278,0.33,0.8637,0.7633,0.7663,0.7716,0.7633,2.6e-05
32,0.03,0.3341,0.8612,0.7568,0.7594,0.7644,0.7568,2.3e-05
33,0.0272,0.3383,0.8567,0.751,0.7551,0.7607,0.751,2e-05
34,0.0227,0.3419,0.8552,0.7465,0.7537,0.7631,0.7465,1.7e-05
35,0.0221,0.3437,0.8562,0.7482,0.7568,0.7679,0.7482,1.4e-05
36,0.025,0.347,0.8542,0.7462,0.7547,0.7659,0.7462,1.2e-05
37,0.0198,0.3519,0.8537,0.745,0.7527,0.763,0.745,1e-05
38,0.0185,0.3546,0.8507,0.7415,0.7478,0.7566,0.7415,8e-06
