epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.1909,1.5057,0.0609,0.1886,0.0395,0.1819,0.1886,4e-05
2,0.6496,1.2093,0.3235,0.333,0.1735,0.292,0.333,7e-05
3,0.4789,0.891,0.6385,0.5018,0.3805,0.4529,0.5018,0.0001
4,0.4036,0.6463,0.7294,0.6062,0.5104,0.5413,0.6062,0.0001
5,0.3404,0.4863,0.7743,0.6661,0.604,0.6185,0.6661,9.9e-05
6,0.3048,0.3991,0.7988,0.696,0.6581,0.6633,0.696,9.9e-05
7,0.2886,0.3483,0.8148,0.7173,0.6895,0.6928,0.7173,9.8e-05
8,0.2433,0.3145,0.8263,0.7462,0.7205,0.7228,0.7462,9.7e-05
9,0.2333,0.295,0.8337,0.7547,0.7376,0.7428,0.7547,9.5e-05
10,0.2136,0.2804,0.8402,0.7588,0.7484,0.7561,0.7588,9.3e-05
11,0.198,0.2714,0.8422,0.7594,0.7526,0.7645,0.7594,9.1e-05
12,0.1913,0.2658,0.8452,0.7639,0.7559,0.76,0.7639,8.9e-05
13,0.1692,0.2631,0.8472,0.767,0.7584,0.7615,0.767,8.7e-05
14,0.1555,0.2584,0.8507,0.7645,0.7604,0.7676,0.7645,8.4e-05
15,0.1442,0.2559,0.8532,0.771,0.7708,0.7785,0.771,8.1e-05
16,0.1306,0.2563,0.8517,0.7678,0.7689,0.7769,0.7678,7.8e-05
17,0.125,0.2589,0.8547,0.7775,0.7751,0.7803,0.7775,7.5e-05
18,0.1142,0.2581,0.8557,0.7757,0.7745,0.78,0.7757,7.2e-05
19,0.1037,0.259,0.8542,0.7695,0.7703,0.7776,0.7695,6.9e-05
20,0.0989,0.263,0.8527,0.7639,0.7651,0.772,0.7639,6.5e-05
21,0.0897,0.2649,0.8527,0.7607,0.7637,0.7733,0.7607,6.2e-05
22,0.0785,0.2679,0.8517,0.7526,0.764,0.784,0.7526,5.8e-05
23,0.0733,0.2699,0.8547,0.7622,0.7749,0.7964,0.7622,5.4e-05
24,0.072,0.2745,0.8562,0.7618,0.7781,0.8057,0.7618,5.1e-05
25,0.0635,0.2802,0.8547,0.7552,0.7725,0.8012,0.7552,4.7e-05
26,0.0584,0.2847,0.8562,0.7574,0.7738,0.8023,0.7574,4.3e-05
27,0.0523,0.2894,0.8537,0.7555,0.7725,0.8011,0.7555,3.9e-05
28,0.0514,0.2942,0.8567,0.7583,0.7767,0.8061,0.7583,3.6e-05
29,0.0454,0.2994,0.8572,0.7577,0.778,0.8085,0.7577,3.2e-05
30,0.0412,0.3057,0.8552,0.7557,0.7724,0.7976,0.7557,2.9e-05
31,0.0407,0.3107,0.8517,0.7544,0.7694,0.7927,0.7544,2.6e-05
32,0.0374,0.3143,0.8507,0.7518,0.7707,0.7996,0.7518,2.3e-05
33,0.0335,0.3173,0.8492,0.7539,0.7709,0.7963,0.7539,2e-05
34,0.033,0.3196,0.8507,0.7566,0.7717,0.7936,0.7566,1.7e-05
35,0.0295,0.3224,0.8522,0.7575,0.7765,0.8035,0.7575,1.4e-05
36,0.028,0.3254,0.8537,0.754,0.7741,0.8044,0.754,1.2e-05
37,0.0273,0.3272,0.8542,0.7579,0.7744,0.7994,0.7579,1e-05
38,0.0272,0.3301,0.8527,0.7583,0.7734,0.7968,0.7583,8e-06
39,0.0226,0.3329,0.8527,0.7519,0.769,0.7953,0.7519,6e-06
40,0.025,0.336,0.8497,0.7497,0.7665,0.7923,0.7497,4e-06
