epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.1915,1.4989,0.0544,0.1856,0.042,0.1531,0.1856,4e-05
2,0.646,1.1963,0.345,0.3399,0.1863,0.3092,0.3399,7e-05
3,0.4673,0.8872,0.6495,0.5043,0.3808,0.4503,0.5043,0.0001
4,0.4066,0.631,0.7289,0.5823,0.5056,0.5586,0.5823,0.0001
5,0.3466,0.476,0.7678,0.6507,0.5877,0.6152,0.6507,9.9e-05
6,0.3004,0.3839,0.7978,0.6733,0.6284,0.6447,0.6733,9.9e-05
7,0.2702,0.3345,0.8218,0.7151,0.6778,0.6817,0.7151,9.8e-05
8,0.2472,0.3038,0.8298,0.7335,0.7037,0.7007,0.7335,9.7e-05
9,0.2232,0.2836,0.8347,0.745,0.7152,0.7077,0.745,9.5e-05
10,0.2131,0.2743,0.8412,0.7605,0.7362,0.7275,0.7605,9.3e-05
11,0.1996,0.2666,0.8407,0.7549,0.7321,0.723,0.7549,9.1e-05
12,0.1811,0.2591,0.8412,0.7554,0.7341,0.7235,0.7554,8.9e-05
13,0.1677,0.2564,0.8482,0.7583,0.7419,0.7356,0.7583,8.7e-05
14,0.1559,0.2538,0.8517,0.7623,0.7529,0.7511,0.7623,8.4e-05
15,0.1472,0.2511,0.8522,0.7602,0.7556,0.7577,0.7602,8.1e-05
16,0.1299,0.2505,0.8537,0.7647,0.7625,0.7669,0.7647,7.8e-05
17,0.1237,0.2527,0.8492,0.7601,0.7557,0.7577,0.7601,7.5e-05
18,0.1081,0.2553,0.8527,0.7632,0.7583,0.7598,0.7632,7.2e-05
19,0.1002,0.2587,0.8507,0.7555,0.7536,0.7611,0.7555,6.9e-05
20,0.0972,0.2606,0.8492,0.7564,0.7571,0.768,0.7564,6.5e-05
21,0.0918,0.263,0.8502,0.7586,0.7568,0.7651,0.7586,6.2e-05
22,0.0828,0.2689,0.8512,0.7529,0.7537,0.7657,0.7529,5.8e-05
23,0.0721,0.2731,0.8497,0.747,0.749,0.7604,0.747,5.4e-05
24,0.0695,0.2755,0.8487,0.7478,0.7497,0.7636,0.7478,5.1e-05
25,0.066,0.2788,0.8502,0.7497,0.7534,0.768,0.7497,4.7e-05
26,0.0636,0.2804,0.8517,0.7444,0.7511,0.7688,0.7444,4.3e-05
27,0.0529,0.2835,0.8532,0.7449,0.7531,0.772,0.7449,3.9e-05
28,0.0543,0.2865,0.8512,0.7432,0.7496,0.7663,0.7432,3.6e-05
29,0.0491,0.2911,0.8482,0.738,0.7444,0.7603,0.738,3.2e-05
30,0.0413,0.2966,0.8477,0.7373,0.7447,0.7619,0.7373,2.9e-05
31,0.0398,0.3017,0.8467,0.7261,0.7403,0.7674,0.7261,2.6e-05
32,0.0338,0.3072,0.8457,0.7207,0.7371,0.769,0.7207,2.3e-05
