epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.3994,1.8574,0.1503,0.1747,0.0907,0.1612,0.1747,4e-05
2,0.755,1.7262,0.3412,0.2681,0.19,0.2236,0.2681,7e-05
3,0.4261,1.4584,0.5884,0.4356,0.3659,0.4088,0.4356,0.0001
4,0.3408,1.0939,0.6963,0.5605,0.4745,0.5288,0.5605,0.0001
5,0.2899,0.7685,0.7393,0.6373,0.5562,0.5959,0.6373,9.9e-05
6,0.2289,0.5708,0.7587,0.6656,0.597,0.612,0.6656,9.9e-05
7,0.2019,0.4608,0.7792,0.7052,0.6366,0.6484,0.7052,9.8e-05
8,0.1859,0.4054,0.7937,0.7178,0.662,0.6688,0.7178,9.7e-05
9,0.1552,0.382,0.8012,0.7244,0.6771,0.6748,0.7244,9.5e-05
10,0.14,0.3704,0.8022,0.7329,0.6858,0.6781,0.7329,9.3e-05
11,0.1388,0.3606,0.8062,0.7332,0.6873,0.6767,0.7332,9.1e-05
12,0.1223,0.3558,0.8162,0.7514,0.7117,0.6992,0.7514,8.9e-05
13,0.1089,0.3523,0.8222,0.7546,0.7159,0.7013,0.7546,8.7e-05
14,0.1024,0.354,0.8187,0.7471,0.715,0.7031,0.7471,8.4e-05
15,0.0848,0.3524,0.8207,0.7417,0.7085,0.6936,0.7417,8.1e-05
16,0.0849,0.3512,0.8197,0.7341,0.7051,0.6928,0.7341,7.8e-05
17,0.0786,0.348,0.8207,0.7261,0.7032,0.6993,0.7261,7.5e-05
18,0.0787,0.3498,0.8247,0.7223,0.7006,0.6998,0.7223,7.2e-05
19,0.0707,0.3514,0.8237,0.7213,0.6981,0.6928,0.7213,6.9e-05
20,0.0639,0.352,0.8262,0.7223,0.7,0.6959,0.7223,6.5e-05
21,0.0583,0.3527,0.8267,0.726,0.707,0.7102,0.726,6.2e-05
22,0.0513,0.3549,0.8312,0.7328,0.7165,0.7309,0.7328,5.8e-05
23,0.0529,0.3577,0.8332,0.737,0.719,0.7255,0.737,5.4e-05
24,0.0466,0.3618,0.8277,0.7263,0.7081,0.7107,0.7263,5.1e-05
25,0.0439,0.3648,0.8282,0.7257,0.7115,0.7216,0.7257,4.7e-05
26,0.0425,0.3681,0.8277,0.7256,0.7106,0.72,0.7256,4.3e-05
27,0.0398,0.3748,0.8257,0.7224,0.7074,0.7176,0.7224,3.9e-05
28,0.0379,0.3812,0.8277,0.7249,0.7076,0.7182,0.7249,3.6e-05
29,0.035,0.3817,0.8282,0.7266,0.7102,0.7208,0.7266,3.2e-05
30,0.0306,0.3814,0.8267,0.7215,0.709,0.7224,0.7215,2.9e-05
31,0.0293,0.3853,0.8267,0.7173,0.7068,0.7219,0.7173,2.6e-05
32,0.0258,0.3905,0.8282,0.7192,0.7076,0.718,0.7192,2.3e-05
33,0.0283,0.3949,0.8267,0.7219,0.708,0.7185,0.7219,2e-05
34,0.0209,0.3959,0.8252,0.7179,0.7046,0.7153,0.7179,1.7e-05
35,0.0222,0.3998,0.8302,0.7214,0.7109,0.7229,0.7214,1.4e-05
36,0.0209,0.4051,0.8317,0.7194,0.7103,0.7229,0.7194,1.2e-05
37,0.0218,0.4068,0.8342,0.7215,0.7129,0.7253,0.7215,1e-05
38,0.0187,0.4078,0.8307,0.7161,0.7093,0.7226,0.7161,8e-06
