epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.0623,1.5562,0.456,0.1734,0.1587,0.2975,0.1734,4e-05
2,0.6076,1.1526,0.6843,0.2727,0.2903,0.3501,0.2727,7e-05
3,0.4608,0.7793,0.7488,0.4322,0.4574,0.5224,0.4322,0.0001
4,0.3623,0.5254,0.7802,0.533,0.5401,0.594,0.533,0.0001
5,0.2863,0.4061,0.7987,0.6073,0.6084,0.6504,0.6073,9.9e-05
6,0.2504,0.3547,0.8137,0.6656,0.6594,0.691,0.6656,9.9e-05
7,0.2168,0.3275,0.8187,0.689,0.6811,0.7065,0.689,9.8e-05
8,0.1822,0.3156,0.8242,0.7003,0.6904,0.7089,0.7003,9.7e-05
9,0.1669,0.312,0.8257,0.7063,0.6947,0.7084,0.7063,9.5e-05
10,0.1344,0.3115,0.8307,0.7273,0.7108,0.717,0.7273,9.3e-05
11,0.1228,0.3132,0.8317,0.7334,0.7125,0.713,0.7334,9.1e-05
12,0.1066,0.3162,0.8327,0.734,0.7098,0.7046,0.734,8.9e-05
13,0.0954,0.3209,0.8317,0.7348,0.7143,0.7129,0.7348,8.7e-05
14,0.0817,0.3219,0.8377,0.7413,0.7215,0.7185,0.7413,8.4e-05
15,0.0749,0.3291,0.8367,0.7438,0.7225,0.7162,0.7438,8.1e-05
16,0.0627,0.3342,0.8352,0.75,0.7254,0.7151,0.75,7.8e-05
17,0.0613,0.3437,0.8347,0.7511,0.7285,0.7215,0.7511,7.5e-05
18,0.0549,0.3511,0.8352,0.7514,0.727,0.718,0.7514,7.2e-05
19,0.0478,0.3608,0.8352,0.7496,0.7279,0.7203,0.7496,6.9e-05
20,0.0434,0.3698,0.8347,0.7506,0.729,0.7215,0.7506,6.5e-05
21,0.0364,0.3791,0.8342,0.7481,0.7281,0.721,0.7481,6.2e-05
22,0.0348,0.3892,0.8397,0.7608,0.7413,0.7328,0.7608,5.8e-05
23,0.0302,0.4009,0.8412,0.7636,0.744,0.7343,0.7636,5.4e-05
24,0.0251,0.4124,0.8422,0.7659,0.7452,0.7342,0.7659,5.1e-05
25,0.0251,0.4211,0.8412,0.7643,0.7444,0.7356,0.7643,4.7e-05
26,0.0257,0.4254,0.8417,0.7684,0.752,0.7449,0.7684,4.3e-05
27,0.0212,0.4322,0.8432,0.7698,0.7525,0.7454,0.7698,3.9e-05
28,0.0189,0.4387,0.8427,0.7665,0.7507,0.7445,0.7665,3.6e-05
29,0.0159,0.444,0.8397,0.752,0.7352,0.7301,0.752,3.2e-05
30,0.0163,0.4512,0.8432,0.7577,0.7384,0.7297,0.7577,2.9e-05
31,0.0129,0.4568,0.8417,0.7568,0.7366,0.7273,0.7568,2.6e-05
32,0.0146,0.4628,0.8422,0.7564,0.741,0.7347,0.7564,2.3e-05
33,0.0154,0.4668,0.8427,0.7591,0.7446,0.7389,0.7591,2e-05
34,0.0136,0.4695,0.8387,0.7552,0.7427,0.7381,0.7552,1.7e-05
35,0.0127,0.4738,0.8382,0.7558,0.7427,0.7382,0.7558,1.4e-05
36,0.0124,0.4784,0.8347,0.7543,0.7395,0.7329,0.7543,1.2e-05
37,0.0123,0.4818,0.8372,0.7541,0.7401,0.7339,0.7541,1e-05
38,0.0116,0.4845,0.8377,0.7548,0.7402,0.7337,0.7548,8e-06
39,0.0106,0.4867,0.8387,0.754,0.7404,0.7341,0.754,6e-06
40,0.0112,0.4882,0.8377,0.7532,0.7398,0.7338,0.7532,4e-06
