epoch,train_loss,val_loss,val_bal_acc,lr
1,1.4526,1.3282,0.1834,4e-05
2,0.9083,1.2774,0.2685,7e-05
3,0.5282,1.143,0.4916,0.0001
4,0.3874,0.9552,0.6365,0.0001
5,0.3201,0.7621,0.7064,9.9e-05
6,0.2772,0.6095,0.7451,9.9e-05
7,0.2464,0.5044,0.758,9.8e-05
8,0.2198,0.4387,0.7784,9.7e-05
9,0.1915,0.3941,0.7929,9.5e-05
10,0.1872,0.3656,0.8091,9.3e-05
11,0.1577,0.3461,0.8085,9.1e-05
12,0.1531,0.3306,0.8149,8.9e-05
13,0.1487,0.3141,0.814,8.7e-05
14,0.1306,0.3042,0.8195,8.4e-05
15,0.1237,0.2998,0.8184,8.1e-05
16,0.1179,0.2952,0.8113,7.8e-05
17,0.1061,0.2909,0.8079,7.5e-05
18,0.0982,0.2877,0.8023,7.2e-05
19,0.0997,0.2881,0.8034,6.9e-05
20,0.0883,0.2851,0.8126,6.5e-05
21,0.0915,0.281,0.8094,6.2e-05
22,0.0807,0.2793,0.8045,5.8e-05
23,0.0765,0.2779,0.8044,5.4e-05
24,0.0781,0.2766,0.8145,5.1e-05
25,0.0712,0.2745,0.8145,4.7e-05
26,0.0686,0.2743,0.8132,4.3e-05
27,0.0639,0.2721,0.8165,3.9e-05
28,0.063,0.2707,0.8171,3.6e-05
